rb,Month,CI_min_lower,CI_min_upper
p14,1,266.25680851771966,267.7649127639085
p14,2,268.0571581332689,269.3154473400441
p14,3,270.74176873580876,271.8533184652662
p14,4,273.43325704400763,274.531503573294
p14,5,278.0282054085571,279.1864190862919
p14,6,281.5169397567418,282.5732771978639
p14,7,286.7192079251318,287.7658978879553
p14,8,286.0189210904985,287.0188912797493
p14,9,282.3979871122023,283.51331003826164
p14,10,275.93868090279574,277.1459412007568
p14,11,270.9341761465571,272.4398603142722
p14,12,266.1294394233,267.6703316131152
