rb,Month,CI_min_lower,CI_min_upper
p107,1,265.14889985938964,267.03732778409847
p107,2,265.72547945005795,267.8706080087958
p107,3,274.4666597843874,276.4298635419008
p107,4,279.05574560009984,280.6332638016702
p107,5,285.51337295936594,286.8333809249725
p107,6,290.26709624316607,291.32754950811216
p107,7,291.6176390658206,292.6035708479514
p107,8,290.0656860484513,291.144615047259
p107,9,286.0648136338362,287.3626095559876
p107,10,279.61673715504077,281.07971439543593
p107,11,273.9213376608417,275.31245348850587
p107,12,268.4385209882944,270.058986547308
