rb,Month,CI_max_lower,CI_max_upper
p100,1,275.5472029250314,277.2568447365816
p100,2,276.45473346547624,278.2333539960824
p100,3,284.16061412584054,286.01628989901747
p100,4,289.9191924127366,291.7143257312356
p100,5,295.2165608024629,296.56544366452187
p100,6,299.8655225367355,300.87865548844275
p100,7,301.82452527401034,302.76054529833897
p100,8,301.23587230536623,302.12381098811136
p100,9,297.11839560107654,298.4170021772275
p100,10,290.4050640372011,292.1245944183552
p100,11,283.8190219479226,285.2091806408581
p100,12,277.3842179982661,278.9494832048573
