rb,Month,CI_min_lower,CI_min_upper
p72,1,264.567578909897,266.4916018490347
p72,2,265.9172167374168,268.03758188575074
p72,3,274.95784001092517,276.9786857685713
p72,4,279.5663757669418,281.2607417503164
p72,5,285.7171724570812,287.0861347825315
p72,6,291.29784012575055,292.31720327505013
p72,7,292.5747528730439,293.5454362357729
p72,8,290.76938984743657,291.9450165769543
p72,9,285.9945203431505,287.3693190705743
p72,10,279.53001829551033,281.04340696046506
p72,11,274.0619593577609,275.5546714083905
p72,12,267.87943900395356,269.549682414287
