rb,Month,CI_min_lower,CI_min_upper
p63,1,272.76009745828657,274.30163821101877
p63,2,274.9014353309218,276.93567991351415
p63,3,280.5948207203643,282.2862393222067
p63,4,284.4441025219971,285.95358229699326
p63,5,289.92678239999816,291.02596755412344
p63,6,295.0871810322848,295.64811939140895
p63,7,296.48214827681903,297.0094334579473
p63,8,296.05914554626344,296.74639715064535
p63,9,290.790731691154,292.0075805083065
p63,10,283.949982260054,285.5171750382502
p63,11,279.19880830840583,280.83810257441036
p63,12,274.1771837343522,275.84457046751993
