rb,Month,CI_max_lower,CI_max_upper
p118,1,276.46874622853875,278.13605585921584
p118,2,278.17954911946293,279.92029227634765
p118,3,285.45242784237956,287.2083199146261
p118,4,290.6355823800963,292.2244165727324
p118,5,295.22373568601125,296.3661689917753
p118,6,299.8675409019081,300.75428337304083
p118,7,301.07775666234164,301.9141937904953
p118,8,300.9537159816945,301.713441307032
p118,9,296.9059674262248,298.02430179847823
p118,10,290.6673946162672,292.18425701840295
p118,11,284.66210074267656,286.0307362627335
p118,12,278.58825124918485,280.26563967572656
