rb,Month,CI_min_lower,CI_min_upper
p36,1,253.8729952251245,256.4187523012582
p36,2,254.32130511532716,256.64959639070946
p36,3,263.8110829244259,266.2068001271612
p36,4,271.77855966698394,273.41688196085147
p36,5,278.85120750264383,280.0089834620597
p36,6,284.27531077991375,285.3076370254954
p36,7,288.48760841079223,289.40671148532266
p36,8,286.9787517866876,287.92118471762655
p36,9,281.4812924518631,282.6896490374815
p36,10,274.5487272130379,275.8695024333534
p36,11,266.56871016335907,268.3786622477846
p36,12,256.17324396600605,258.19979368107016
