rb,Month,CI_min_lower,CI_min_upper
p43,1,251.36592222814818,253.84684683379743
p43,2,253.43496914373705,255.86923794786
p43,3,263.8519633597391,266.66812293950727
p43,4,273.0576400393816,274.67456780744664
p43,5,280.242784872691,281.6610891395816
p43,6,285.68296519022203,286.8215034284774
p43,7,288.4317118112263,289.47094718884495
p43,8,286.3112970319662,287.48819912641557
p43,9,280.8923701300857,282.32241058410665
p43,10,275.1602373019273,276.64361379447723
p43,11,267.93301060272324,269.6391901664889
p43,12,255.8976592412208,258.0107193719634
