rb,Month,CI_max_lower,CI_max_upper
p56,1,278.972785514879,280.7024051740665
p56,2,280.9875141219266,283.04608235611425
p56,3,289.6436294319791,291.33152995018816
p56,4,293.4315253177267,294.8721599790814
p56,5,297.95593981941704,299.13749629050244
p56,6,303.9293022234147,304.76537306756296
p56,7,306.0439002484664,306.99771249112797
p56,8,306.7076964961438,307.7996714424498
p56,9,300.7847281598356,301.98135926783266
p56,10,294.3159301361431,295.80335233606064
p56,11,288.18166599252794,289.6923295341615
p56,12,280.89626562013757,282.4678560303918
