rb,Month,CI_min_lower,CI_min_upper
p90,1,275.61865241305577,277.3571988458541
p90,2,276.92288417019967,278.58999876821537
p90,3,281.82866050650665,283.32758637729063
p90,4,285.04680341605047,286.2795427600214
p90,5,290.0111335459267,290.9461941838228
p90,6,294.57091816131503,295.12100897377775
p90,7,295.4003264791018,295.8058871894728
p90,8,295.4222713889666,295.9144865993794
p90,9,292.1469554385328,293.03247842890846
p90,10,285.3226091276747,286.7963792676114
p90,11,280.07630507697917,281.40084276229237
p90,12,277.644956091003,279.33039600002894
