rb,Month,CI_max_lower,CI_max_upper
p5,1,278.1988685820984,279.0728531679316
p5,2,279.81696207748956,280.69170653077805
p5,3,281.02844800572456,281.9234111055801
p5,4,283.9218396772189,285.1616799077454
p5,5,288.12678223376986,289.4724775579017
p5,6,291.0887388650432,292.2363668042252
p5,7,296.48112447777595,297.4966544894216
p5,8,296.90782417363243,298.0437062772876
p5,9,295.2133071345786,296.481503465943
p5,10,287.60978647205746,288.6876156445846
p5,11,281.6569575154293,282.74210831034327
p5,12,277.35033662338003,278.310989363653
