rb,Month,CI_max_lower,CI_max_upper
p102,1,296.06729045693226,297.15404716680985
p102,2,297.01166185516524,298.088704496127
p102,3,298.6978545465059,299.4938181179817
p102,4,300.8507396361361,301.4976592482803
p102,5,302.802957039061,303.30698909069014
p102,6,303.8881918179362,304.3773763021113
p102,7,304.3670450465648,304.77548815475865
p102,8,304.694378302207,305.08787952619747
p102,9,303.39001214069043,303.7722212340886
p102,10,301.3106161294048,301.99501046342755
p102,11,298.36456056146784,299.04250165239586
p102,12,296.9306149501014,297.97668918367896
