rb,Month,CI_min_lower,CI_min_upper
p84,1,267.3801240643696,269.1662408181936
p84,2,268.90668750057927,270.8201685376576
p84,3,276.92065576643034,278.8137457759745
p84,4,281.06283489315297,282.66510835187944
p84,5,286.9401163647969,288.1678233139541
p84,6,292.155477687397,292.9869302699177
p84,7,293.3681032884723,294.11819689202366
p84,8,292.22973402231355,293.20853025655856
p84,9,287.5338545726252,288.7883306925781
p84,10,281.00887109842677,282.4456764280882
p84,11,275.8189566500482,277.2261147308636
p84,12,270.1954628056833,271.7558365892903
