rb,Month,CI_max_lower,CI_max_upper
p52,1,276.516077594811,278.3514249937566
p52,2,278.8737010978317,280.9317220867614
p52,3,288.1291165565403,290.0507652617477
p52,4,292.47911155378995,294.3128594820281
p52,5,298.3337555260672,299.88589520639664
p52,6,305.46807734314694,306.7081964029564
p52,7,308.0935370012353,309.1153467972159
p52,8,307.4419928356005,308.5947274527834
p52,9,301.5478179652457,302.8809358397185
p52,10,292.7187084790972,294.5832436458408
p52,11,286.1136103026728,287.8333935416438
p52,12,277.05562956776055,278.83218688070383
