rb,Month,CI_min_lower,CI_min_upper
p97,1,270.4236904466028,271.9770800504034
p97,2,271.4026652931031,272.876199608547
p97,3,276.91739387728376,278.51297776425724
p97,4,280.88717141855807,282.25150790546365
p97,5,286.2273658285473,287.32140794448657
p97,6,291.05324424121926,291.9097744042702
p97,7,292.74278941503786,293.50244815064167
p97,8,292.38937355816324,293.05926848298964
p97,9,287.9819753315759,288.95544025773097
p97,10,281.5300919032065,282.905601427268
p97,11,276.00379989853246,277.29072845399304
p97,12,272.8534832976059,274.4102549609152
