rb,Month,CI_max_lower,CI_max_upper
p12,1,273.30061785285125,274.327225985821
p12,2,274.98224791727523,275.897905668058
p12,3,279.988188915897,281.3359060127849
p12,4,284.8110645431174,286.36868405292245
p12,5,290.4822857158921,292.074015503503
p12,6,296.2361069126942,297.58785316763914
p12,7,302.5969188367274,303.3180119510875
p12,8,301.63970154498776,302.42175929156775
p12,9,297.7570656569816,298.787818413555
p12,10,288.2676673483526,289.6751103079779
p12,11,280.2705821423011,281.7527368007122
p12,12,273.2775709606901,274.4785995315965
