rb,Month,CI_max_lower,CI_max_upper
p64,1,287.1124151080389,288.87274620835757
p64,2,290.01676257084443,292.02823370275087
p64,3,295.9303745523578,297.2587610378949
p64,4,299.94288828859027,301.175301093296
p64,5,304.2653747729353,305.27945884342785
p64,6,308.57999701585607,309.3259543697004
p64,7,308.1146408573605,309.0773089077157
p64,8,309.7710778973936,310.51675975260576
p64,9,305.4324083735034,306.4371057047918
p64,10,300.1898764106519,301.3573108442413
p64,11,294.80732697329466,296.15318330870065
p64,12,289.155226043031,290.891822704967
