rb,Month,CI_min_lower,CI_min_upper
p117,1,267.422767428882,269.1914199751278
p117,2,267.8192161761065,269.73721172364907
p117,3,274.98574732567107,276.78135656694025
p117,4,279.5204790718741,281.0877254271468
p117,5,285.07485018332227,286.33662505334223
p117,6,289.43717585735084,290.3823881755871
p117,7,291.02439714414044,291.9070004931794
p117,8,290.1728028273798,291.042167641004
p117,9,286.332600051853,287.46558363242343
p117,10,280.19403333763813,281.55122485185024
p117,11,274.896865319587,276.2478210600081
p117,12,270.0830681478711,271.7170829001262
