rb,Month,CI_max_lower,CI_max_upper
p14,1,272.2002865118563,273.278698863907
p14,2,274.3642050958636,275.2687353204121
p14,3,278.4304880788364,279.57069085203324
p14,4,283.3345413883534,284.79390443668365
p14,5,289.2510394001245,290.5893477910286
p14,6,292.9479028109144,294.2216636392612
p14,7,299.75637743027505,300.82806608600345
p14,8,299.67792820797933,300.81267530388004
p14,9,295.6754736932011,297.03455310616636
p14,10,285.6342504953799,287.07208464180087
p14,11,277.58865202470946,279.12865785868377
p14,12,271.4626784155085,272.65639463705514
