rb,Month,CI_max_lower,CI_max_upper
p4,1,271.28987889859326,272.359350730979
p4,2,274.96211297439436,275.89613534555485
p4,3,281.21447530928623,282.29588690546194
p4,4,286.972949353599,288.27174963164134
p4,5,292.8569260425393,294.2318078689154
p4,6,296.96766861189974,298.25472309194845
p4,7,303.69895259105044,304.82612954248214
p4,8,302.94858585519205,304.1597203029745
p4,9,298.03027051457093,299.33706224957734
p4,10,287.36857683075095,288.59273964134445
p4,11,278.34951957054744,279.78340065196454
p4,12,271.60879360248623,272.80819759959536
