rb,Month,CI_min_lower,CI_min_upper
p112,1,263.60307479424375,265.5607598364845
p112,2,263.0467361795768,265.2207787791011
p112,3,271.3757952805235,273.4240452411531
p112,4,277.07324976369136,278.6025855556338
p112,5,283.5770809383307,284.992645777902
p112,6,288.1103503368237,289.2820673041446
p112,7,289.5520586087365,290.6234673136803
p112,8,288.3945300756387,289.44300764798584
p112,9,284.426612163779,285.7517503551605
p112,10,278.3512779645611,279.7621601855587
p112,11,272.6879021197137,274.0375921446672
p112,12,267.2115852057964,268.774549232464
