rb,Month,CI_max_lower,CI_max_upper
p15,1,271.7152166023826,272.7345664173606
p15,2,275.3849578917651,276.3356163762991
p15,3,281.5130264643965,282.76534210691693
p15,4,286.9029210541987,288.4944627735755
p15,5,292.8980278225843,294.4961774674421
p15,6,298.5819115320194,300.13146344999006
p15,7,306.5713186536767,307.5471353931198
p15,8,305.51511793889307,306.54291506215947
p15,9,300.23901156132035,301.43225757568916
p15,10,288.9573412173549,290.4663823507514
p15,11,280.08086509944224,281.5724182940545
p15,12,272.6738396751792,273.81295246298356
