rb,Month,CI_min_lower,CI_min_upper
p66,1,277.3121888503471,278.9207027562398
p66,2,278.88870603469155,280.785405220816
p66,3,283.5423588022885,285.0933284679279
p66,4,287.07223477194447,288.4863516179733
p66,5,291.4840515179533,292.3932017751283
p66,6,294.7091992819702,295.17766649387124
p66,7,295.5106266364969,295.8420079406552
p66,8,295.6784777423551,296.0527466907912
p66,9,292.53307723459375,293.43991801074696
p66,10,286.44609949052466,287.9767826609031
p66,11,282.2116112416361,283.7978867602808
p66,12,278.8157565393182,280.5802835118341
