rb,Month,CI_min_lower,CI_min_upper
p101,1,281.78908775832264,283.3530333054785
p101,2,282.94936918577577,284.435960708241
p101,3,285.31677102975954,286.4575138504725
p101,4,287.85152231496727,288.7691530958193
p101,5,291.8705723553441,292.49973754429294
p101,6,295.37640119535837,295.79681028149383
p101,7,296.45618216252404,296.69228003169184
p101,8,296.90286875376137,297.16763366493615
p101,9,295.359185682223,295.7981876060587
p101,10,290.911248464513,292.10062532702835
p101,11,285.3906570323333,286.6506312439463
p101,12,283.5099866359557,285.1077486639701
