rb,Month,CI_min_lower,CI_min_upper
p96,1,275.15255027279795,276.8495159033106
p96,2,276.4552578877259,277.9833076327965
p96,3,280.94488582375277,282.37050484567203
p96,4,284.37132741733876,285.66778594358027
p96,5,289.2908096739201,290.15574121562554
p96,6,293.9365564073809,294.62847855114234
p96,7,295.3988163114759,295.99425853678554
p96,8,295.6189304211841,296.10837467829396
p96,9,291.5346693600193,292.370710430587
p96,10,285.4279312445923,286.8128602790915
p96,11,279.6107246551917,280.9405852909283
p96,12,277.4051927968173,279.07241703255426
