rb,Month,CI_min_lower,CI_min_upper
p42,1,249.50099262748915,252.0121720204619
p42,2,250.95306209167578,253.5055666291623
p42,3,261.9439566759174,264.7451008341399
p42,4,271.8253659496719,273.57405008006526
p42,5,279.10766032128066,280.45973911442576
p42,6,284.6759056077571,285.8025687412182
p42,7,287.37099084214213,288.340371671278
p42,8,286.13582744518163,287.18112768193856
p42,9,280.96407945776593,282.3195299650065
p42,10,275.0921081946676,276.3914703633035
p42,11,266.89083903065574,268.7289386749448
p42,12,254.07722430313027,256.04331234641893
