rb,Month,CI_max_lower,CI_max_upper
p105,1,270.4636222653755,271.98869962983423
p105,2,271.2517421946126,272.9839663330538
p105,3,281.0243827881411,283.1786184843851
p105,4,287.56513268938716,289.2691249988769
p105,5,294.1030698937603,295.4974660322005
p105,6,298.74361998140574,299.81785937135913
p105,7,300.8478388903719,301.82508257387826
p105,8,300.1829153962732,301.142190427223
p105,9,295.5801612554668,296.85645279987773
p105,10,288.814715762689,290.4223287558597
p105,11,281.49179516218265,283.06691963455245
p105,12,273.1897858630216,274.5721244641693
