rb,Month,CI_min_lower,CI_min_upper
p108,1,267.219536656954,269.0759072492225
p108,2,268.40252389730233,270.41657244344196
p108,3,276.5902584440923,278.47670270329417
p108,4,280.68513073856235,282.31535787174874
p108,5,286.8548981281641,288.11901044131844
p108,6,291.6364642906596,292.6036856616557
p108,7,292.98156708596406,293.85555154656305
p108,8,291.5463948653174,292.59669230305343
p108,9,287.6364957045174,288.92399023686494
p108,10,280.706848923212,282.20423084809346
p108,11,275.14652599230425,276.55375870040695
p108,12,270.3698662883521,271.96209760947727
