rb,Month,CI_max_lower,CI_max_upper
p63,1,284.26357999271283,286.1240845022362
p63,2,287.12167145262384,289.32534042674223
p63,3,294.08076400678857,295.61486583789707
p63,4,298.3052739403884,299.57258216009103
p63,5,302.7426236035957,303.86864058151855
p63,6,308.6663618846646,309.60610289556854
p63,7,309.72886332537666,310.72761200317143
p63,8,310.8090623029021,311.7345474752256
p63,9,305.01227041750406,306.13644644444105
p63,10,298.72428901536335,300.04619594035245
p63,11,292.8014367058447,294.2754769792141
p63,12,285.8959010515847,287.7314429422405
