rb,Month,CI_max_lower,CI_max_upper
p96,1,284.78808097001314,286.44646616840174
p96,2,287.1974456406073,288.78518972953026
p96,3,292.1783325929753,293.60781896454074
p96,4,296.3043923084624,297.49425367321464
p96,5,300.51509427661307,301.41242066831757
p96,6,304.48601188474305,305.3512275722989
p96,7,304.9305402515698,305.664034750504
p96,8,304.52667095233517,305.2595778638455
p96,9,301.77417895550593,302.7039438135853
p96,10,296.28306118488103,297.49939412913955
p96,11,290.4896397291746,291.7016470471887
p96,12,287.1881772423093,288.75893415407336
