rb,Month,CI_min_lower,CI_min_upper
p13,1,275.2828594356859,276.2224093815185
p13,2,276.35284860688034,277.23997492253136
p13,3,279.2713352900479,280.3389872905972
p13,4,282.0826966703217,283.3500811074561
p13,5,286.87552345382437,288.1096378364981
p13,6,291.9771912933484,292.9924753733183
p13,7,297.2026860630171,297.770754797198
p13,8,296.2064546763122,296.89644854949415
p13,9,292.80505752783046,293.68038691661405
p13,10,285.1986457113346,286.40855858974066
p13,11,279.95426077075666,281.14173922924334
p13,12,275.04374722540996,276.08560060067697
