rb,Month,CI_max_lower,CI_max_upper
p98,1,281.5794100222842,283.24317430759794
p98,2,283.8747152460761,285.6127962321648
p98,3,289.60423470246036,291.23742268765983
p98,4,294.29102231719884,295.65478442576165
p98,5,298.58585281497426,299.62653614577164
p98,6,303.2292008595408,304.1391286046436
p98,7,303.91848308021315,304.6982883231059
p98,8,303.6626155397251,304.44877448641574
p98,9,300.08917859434746,301.09473343109937
p98,10,294.30510814389834,295.6556704358785
p98,11,288.10277399366294,289.3640553855288
p98,12,283.88512536474406,285.5133822623306
