rb,Month,CI_max_lower,CI_max_upper
p30,1,290.4637825902648,291.55569852969177
p30,2,291.73262492845095,293.03103373025976
p30,3,296.1125109411506,297.34403900398706
p30,4,299.2086179113425,300.3988936181859
p30,5,303.3412120186963,304.3852969864638
p30,6,308.4373622369757,309.29852734607175
p30,7,308.8654625586374,309.63561100354485
p30,8,309.02865916894865,309.82211134257324
p30,9,306.86078395885914,307.5709864240319
p30,10,301.6444772166403,302.7182111218398
p30,11,295.872324919616,297.19742058226615
p30,12,289.4124518165468,290.70415519505735
